sID,pID,per,E_per,e_per,rad,E_rad,e_rad,axis,E_axis,e_axis,koi_disposition,koi_pdisposition,reliability,comp,avg_comp,mdwarf_comp,new_comp
4736644,K03330.01,16.2951259,0.0001917,-0.0001917,1.0964582558510942,0.048788283380438,-0.0889406903700633,0.1163818524503834,0.0021072108506541,-0.0019502749612358,CONFIRMED,CANDIDATE,0.994198085160912,0.0233689932776211,0.0110687031183616,0.0112438577539112,0.023293933498029478
10922659,K03335.01,31.2543238,0.0003567,-0.0003567,2.4116354692392923,0.248541325794334,-0.2196342480377859,0.1993192501288997,0.0045360349287803,-0.0047730296075783,CANDIDATE,CANDIDATE,0.9967477097390685,0.0211166245745374,0.0205293980107945,0.0104053427663641,0.02106917959437718
7692093,K03337.01,11.16622885,9.657e-05,-9.657e-05,1.455890774452913,0.1119967491512197,-0.0881998849881355,0.091681242122874,0.0015916069927715,-0.0019467827972334,CANDIDATE,CANDIDATE,0.9917567071167565,0.0314782974698945,0.0320290134222044,0.0195354010560809,0.031329840201261026
3529290,K03340.01,8.9539656,0.0001907,-0.0001907,1.5839974736108924,0.170869516222734,-0.1567651120176005,0.0928818377245452,0.0018640759328836,-0.0016954025643026,CANDIDATE,CANDIDATE,0.9828024255592456,0.0664270033894217,0.041552167244974,0.0235958875005081,0.06634691395176509
3529290,K03340.02,13.7281373,0.0001463,-0.0001463,2.0868630906808905,0.375550819699936,-0.2879269949541942,0.1234731485404401,0.0024042964400877,-0.0025647099071214,CANDIDATE,CANDIDATE,0.9963284457752274,0.0589400631259319,0.0356111281073297,0.0187802899379394,0.05890491815327551
3236705,K03343.01,83.2664103,0.0006749,-0.0006749,2.0015034962902787,0.1473208464436384,-0.1168273481601058,0.3585094003151622,0.0033115693726447,-0.0037994031260163,CANDIDATE,CANDIDATE,0.940927047307928,0.0088841174702002,0.0071449829236043,0.0043720769334871,0.00888010843161146
11810124,K03344.01,11.6044881,0.000113,-0.000113,1.409206764309176,0.0943254611143389,-0.0786581632341583,0.0966638261586601,0.0016156228003099,-0.0021026452189508,CANDIDATE,CANDIDATE,0.9902799524678756,0.0349088944922492,0.029254328589509,0.0186048209132203,0.03472412534817754
11810124,K03344.02,3.63898953,2.132e-05,-2.132e-05,1.24877311086259,0.0772281066781759,-0.0836251460282249,0.044571413690539,0.0007902948647254,-0.0009042933219004,CONFIRMED,CANDIDATE,0.9984734485453604,0.0807249650041374,0.0727560588669681,0.0440388144088561,0.0804376404523817
11810124,K03344.03,208.54335,0.0166,-0.0166,2.130614844706918,0.1372411563970259,-0.1547457438710155,0.6627031350940031,0.0118670625039379,-0.0136930806240869,CANDIDATE,CANDIDATE,0.8157954353519686,0.0041572656737877,0.0029697903096301,0.001890259952699,0.004129299739382153
11303322,K03345.01,38.1303324,0.0005845,-0.0005845,2.089111565914709,0.2571899308932996,-0.1136394138296623,0.2341087320870133,0.0045275747153037,-0.0059028728452284,CONFIRMED,CANDIDATE,0.5453667216190694,0.022082241441066,0.0157492701213153,0.0083980259713332,0.02201276829056218
11241912,K03346.01,14.42735088,9.101e-05,-9.101e-05,1.660021553402787,0.1129650503293162,-0.3795528133472532,0.1203185749658393,0.0019108121358615,-0.0023015624661569,CONFIRMED,CANDIDATE,0.9990948115172212,0.0401241578525674,0.029198800158756,0.0167019498605538,0.040069049076315984
